sharpe_ratio,win_rate,max_drawdown_pct,total_return,total_trades,avg_pnl,profit_factor,trades_per_day,trading_days,AMOUNT_THRESH_WAN,FENGXIAN_THRESH,MACD_BAR_THRESH,MA_ABOVE,ZHANGDIE_THRESH
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.08,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.1,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.12,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.02,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.04,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.06,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.08,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.1,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.12,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.02,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.04,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.06,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.08,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.1,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.12,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.02,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.04,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.06,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.08,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.1,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.12,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.02,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.04,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.06,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.08,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.1,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.12,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.02,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.04,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.06,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.08,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.1,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3000,60,0.12,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.02,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.04,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.06,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.08,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.1,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.12,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.02,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.04,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.06,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.08,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.1,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.12,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.02,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.04,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.06,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.08,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.1,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.12,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.02,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.04,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.06,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.08,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.1,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.12,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.02,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.04,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.06,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.08,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.1,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.12,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.02,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.04,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.06,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.08,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.1,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,3500,60,0.12,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.02,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.04,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.06,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.08,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.1,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.12,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.02,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.04,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.06,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.08,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.1,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.12,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.02,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.04,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.06,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.08,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.1,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.12,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.02,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.04,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.06,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.08,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.1,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.12,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.02,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.04,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.06,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.08,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.1,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.12,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.02,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.04,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.06,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.08,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.1,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4000,60,0.12,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.02,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.04,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.06,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.08,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.1,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.12,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.02,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.04,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.06,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.08,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.1,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.12,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.02,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.04,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.06,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.08,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.1,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.12,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.02,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.04,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.06,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.08,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.1,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.12,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.02,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.04,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.06,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.08,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.1,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.12,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.02,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.04,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.06,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.08,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.1,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,4500,60,0.12,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.02,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.04,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.06,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.08,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.1,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.12,0.05,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.02,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.04,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.06,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.08,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.1,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.12,0.1,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.02,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.04,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.06,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.08,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.1,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.12,0.15,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.02,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.04,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.06,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.08,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.1,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.12,0.2,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.02,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.04,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.06,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.08,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.1,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.12,0.25,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.02,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.04,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.06,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.08,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.1,0.3,120
1.9344067351757643,47.72727272727273,39.44636678200711,2.289999999999996,44,0.05204545454545448,1.412612612612612,1.4193548387096775,31,5000,60,0.12,0.3,120
